wordID,word,sentiment
901,bugs,-1
902,bulkier,-1
903,bulkiness,-1
904,bulky,-1
905,bulkyness,-1
906,bull,1
907,bull----,-1
908,bull****,-1
909,bullies,-1
910,bullish,1
911,bullshit,-1
912,bullshyt,-1
913,bully,-1
914,bullying,-1
915,bullyingly,-1
916,bum,-1
917,bump,-1
918,bumped,-1
919,bumping,-1
920,bumpping,-1
921,bumps,-1
922,bumpy,-1
923,bungle,-1
924,bungler,-1
925,bungling,-1
926,bunk,-1
927,buoyant,1
928,burden,-1
929,burdensome,-1
930,burdensomely,-1
931,burn,-1
932,burned,-1
933,burning,-1
934,burns,-1
935,bust,-1
936,busts,-1
937,busy,-1
938,busybody,-1
939,butcher,-1
940,butchery,-1
941,buzzing,-1
942,byzantine,-1
943,cackle,-1
944,cajole,0
945,calamities,-1
946,calamitous,-1
947,calamitously,-1
948,calamity,-1
949,callous,-1
950,calm,1
951,calming,1
952,calmness,1
953,calumniate,-1
954,calumniation,-1
955,calumnies,-1
956,calumnious,-1
957,calumniously,-1
958,calumny,-1
959,cancer,-1
960,cancerous,-1
961,candid,1
962,candor,1
963,cannibal,-1
964,cannibalize,-1
965,capability,1
966,capable,1
967,capably,1
968,capitalize,1
969,capitulate,-1
970,capricious,-1
971,capriciously,-1
972,capriciousness,-1
973,capsize,-1
974,captivate,1
975,captivating,1
976,captivation,1
977,captive,-1
978,care,1
979,carefree,1
980,careful,1
981,careless,-1
982,carelessness,-1
983,caricature,-1
984,carnage,-1
985,carp,-1
986,cartoon,-1
987,cartoonish,-1
988,cash-strapped,-1
989,cashback,1
990,cashbacks,1
991,castigate,-1
992,castrated,-1
993,casualty,-1
994,cataclysm,-1
995,cataclysmal,-1
996,cataclysmic,-1
997,cataclysmically,-1
998,catalyst,1
999,catastrophe,-1
1000,catastrophes,-1
1001,catastrophic,-1
1002,catastrophically,-1
1003,catastrophies,-1
1004,catchy,1
1005,caustic,-1
1006,caustically,-1
1007,cautionary,-1
1008,cautious,-1
1009,cave,-1
1010,ceaseless,0
1011,celebrate,1
1012,celebrated,1
1013,celebration,1
1014,celebratory,1
1015,celebrity,1
1016,censure,-1
1017,central,0
1018,certain,0
1019,certainly,0
1020,certified,0
1021,chafe,-1
1022,chaff,-1
1023,chagrin,-1
1024,challenge,-1
1025,challenging,-1
1026,champ,1
1027,champion,1
1028,chant,0
1029,chaos,-1
1030,chaotic,-1
1031,charisma,1
1032,charismatic,1
1033,charitable,1
1034,charity,1
1035,charm,1
1036,charming,1
1037,charmingly,1
1038,chaste,1
1039,chasten,-1
1040,chastise,-1
1041,chastisement,-1
1042,chatter,-1
1043,chatterbox,-1
1044,cheap,-1
1045,cheapen,-1
1046,cheaper,1
1047,cheapest,1
1048,cheaply,-1
1049,cheat,-1
1050,cheated,-1
1051,cheater,-1
1052,cheating,-1
1053,cheats,-1
1054,checkered,-1
1055,cheer,1
1056,cheerful,1
1057,cheerless,-1
1058,cheery,1
1059,cheesy,-1
1060,cherish,1
1061,cherished,1
1062,cherub,1
1063,chic,1
1064,chide,-1
1065,childish,-1
1066,chill,-1
1067,chilly,-1
1068,chintzy,-1
1069,chit,-1
1070,chivalrous,1
1071,chivalry,1
1072,choke,-1
1073,choleric,-1
1074,choppy,-1
1075,chore,-1
1076,chronic,-1
1077,chum,1
1078,chunky,-1
1079,civil,1
1080,civility,1
1081,civilization,1
1082,civilize,1
1083,claim,0
1084,clamor,-1
1085,clamorous,-1
1086,clandestine,0
1087,clarity,1
1088,clash,-1
1089,classic,1
1090,classy,1
1091,clean,1
1092,cleaner,1
1093,cleanest,1
1094,cleanliness,1
1095,cleanly,1
1096,cleanse,1
1097,clear,1
1098,clear-cut,1
1099,cleared,1
1100,clearer,1
1101,clearly,1
1102,clears,1
1103,clever,1
1104,cleverly,1
1105,cliche,-1
1106,cliched,-1
1107,clique,-1
1108,clog,-1
1109,clogged,-1
1110,clogs,-1
1111,close,-1
1112,closeness,1
1113,cloud,-1
1114,clouding,-1
1115,cloudy,-1
1116,clout,1
1117,clueless,-1
1118,clumsy,-1
1119,clunky,-1
1120,co-operation,1
1121,coarse,-1
1122,coax,1
1123,cocky,-1
1124,coddle,1
1125,coerce,-1
1126,coercion,-1
1127,coercive,-1
1128,cogent,1
1129,cogitate,0
1130,cognizance,0
1131,cognizant,0
1132,cohere,1
1133,coherence,1
1134,coherent,1
1135,cohesion,1
1136,cohesive,1
1137,cold,-1
1138,coldly,-1
1139,collapse,-1
1140,collide,-1
1141,collude,-1
1142,collusion,-1
1143,colorful,1
1144,colossal,1
1145,combative,-1
1146,combust,-1
1147,comeback,1
1148,comedy,-1
1149,comely,1
1150,comfort,1
1151,comfortable,1
1152,comfortably,1
1153,comforting,1
1154,comfy,1
1155,comical,-1
1156,commend,1
1157,commendable,1
1158,commendably,1
1159,commensurate,1
1160,comment,0
1161,commentator,0
1162,commiserate,-1
1163,commitment,1
1164,commodious,1
1165,commonplace,-1
1166,commonsense,1
1167,commonsensible,1
1168,commonsensibly,1
1169,commonsensical,1
1170,commotion,-1
1171,commotions,-1
1172,compact,1
1173,compactly,1
1174,compassion,1
1175,compassionate,1
1176,compatible,1
1177,compel,-1
1178,compelling,1
1179,compensate,1
1180,competence,1
1181,competency,1
1182,competent,1
1183,competitive,1
1184,competitiveness,1
1185,complacent,-1
1186,complain,-1
1187,complained,-1
1188,complaining,-1
1189,complains,-1
1190,complaint,-1
1191,complaints,-1
1192,complement,1
1193,complementary,1
1194,complemented,1
1195,complements,1
1196,complete,0
1197,completely,0
1198,complex,-1
1199,compliant,1
1200,complicate,-1
1201,complicated,-1
1202,complication,-1
1203,complicit,-1
1204,compliment,1
1205,complimentary,1
1206,comprehend,0
1207,comprehensive,1
1208,compromise,1
1209,compromises,1
1210,compulsion,-1
1211,compulsive,-1
1212,compulsory,-1
1213,comrades,1
1214,concede,-1
1215,conceded,-1
1216,conceit,-1
1217,conceited,-1
1218,conceivable,1
1219,concen,-1
1220,concens,-1
1221,concern,-1
1222,concerned,-1
1223,concerning,0
1224,concerns,-1
1225,concerted,0
1226,concession,-1
1227,concessions,-1
1228,conciliate,1
1229,conciliatory,1
1230,concise,1
1231,conclusive,1
1232,concrete,1
1233,concur,1
1234,condemn,-1
1235,condemnable,-1
1236,condemnation,-1
1237,condemned,-1
1238,condemns,-1
1239,condescend,-1
1240,condescending,-1
1241,condescendingly,-1
1242,condescension,-1
1243,condolence,-1
1244,condolences,-1
1245,condone,1
1246,conducive,1
1247,confer,1
1248,confess,-1
1249,confession,-1
1250,confessions,-1
1251,confide,0
1252,confidence,1
1253,confident,1
1254,confined,-1
1255,conflict,-1
1256,conflicted,-1
1257,conflicting,-1
1258,conflicts,-1
1259,confound,-1
1260,confounded,-1
1261,confounding,-1
1262,confront,-1
1263,confrontation,-1
1264,confrontational,-1
1265,confuse,-1
1266,confused,-1
1267,confuses,-1
1268,confusing,-1
1269,confusion,-1
1270,confusions,-1
1271,confute,1
1272,congenial,1
1273,congested,-1
1274,congestion,-1
1275,congratulate,1
1276,congratulation,1
1277,congratulations,1
1278,congratulatory,1
1279,conjecture,0
1280,conquer,1
1281,cons,-1
1282,conscience,0
1283,conscientious,1
1284,consciousness,0
1285,conscons,-1
1286,consensus,1
1287,consent,1
1288,consequently,0
1289,conservative,-1
1290,consider,0
1291,considerable,0
1292,considerably,0
1293,considerate,1
1294,consideration,0
1295,consistent,1
1296,consistently,1
1297,console,1
1298,conspicuous,-1
1299,conspicuously,-1
1300,conspiracies,-1
1301,conspiracy,-1
1302,conspirator,-1
1303,conspiratorial,-1
1304,conspire,-1
1305,constancy,1
1306,consternation,-1
1307,constitutions,0
1308,constrain,-1
1309,constraint,-1
1310,constructive,1
1311,consume,-1
1312,consummate,1
1313,contagious,-1
1314,contaminate,-1
1315,contaminated,-1
1316,contaminates,-1
1317,contaminating,-1
1318,contamination,-1
1319,contemplate,0
1320,contempt,-1
1321,contemptible,-1
1322,contemptuous,-1
1323,contemptuously,-1
1324,contend,-1
1325,content,1
1326,contention,-1
1327,contentious,-1
1328,contentment,1
1329,continuity,1
1330,continuous,0
1331,contort,-1
1332,contortions,-1
1333,contradict,-1
1334,contradiction,-1
1335,contradictory,-1
1336,contrariness,-1
1337,contrary,-1
1338,contrasty,1
1339,contravene,-1
1340,contribution,1
1341,contrive,-1
1342,contrived,-1
1343,controversial,-1
1344,controversy,-1
1345,convenience,1
1346,convenient,1
1347,conveniently,1
1348,conviction,1
1349,convience,1
1350,convienient,1
1351,convient,1
1352,convince,1
1353,convincing,1
1354,convincingly,1
1355,convoluted,-1
1356,cool,1
1357,coolest,1
1358,cooperate,1
1359,cooperation,1
1360,cooperative,1
1361,cooperatively,1
1362,coping,-1
1363,cordial,1
1364,cornerstone,1
1365,correct,1
1366,corrective,0
1367,correctly,1
1368,corrode,-1
1369,corrosion,-1
1370,corrosions,-1
1371,corrosive,-1
1372,corrupt,-1
1373,corrupted,-1
1374,corrupting,-1
1375,corruption,-1
1376,corrupts,-1
1377,corruptted,-1
1378,cost-effective,1
1379,cost-saving,1
1380,costlier,-1
1381,costly,-1
1382,could,0
1383,counter-attack,1
1384,counter-attacks,1
1385,counter-productive,-1
1386,counterproductive,-1
1387,coupists,-1
1388,courage,1
1389,courageous,1
1390,courageously,1
1391,courageousness,1
1392,court,1
1393,courteous,1
1394,courtesy,1
1395,courtly,1
1396,covenant,1
1397,covert,0
1398,covet,0
1399,coveting,0
1400,covetingly,0
1401,covetous,-1
